,nombre,tipo,latitud_y,longitud_x,fuente
250,Sgle Room Palermo Viejo B&B w/Bath,Private room,-34.59348,-58.42949,Airbnb
251,"Arty, chic and antique in Recoleta",Entire home/apt,-34.59768,-58.384519999999995,Airbnb
252,Tu propia casa en Palermo Soho,Entire home/apt,-34.58559,-58.4248,Airbnb
253,"HABIT. BIG, BRIGHT AND PRIVATE",Private room,-34.61172,-58.41118,Airbnb
254,"Lovely Private Room,  Palermo Soho",Private room,-34.59115,-58.423190000000005,Airbnb
255,Impecable studio in Palermo Soho A,Entire home/apt,-34.58652,-58.42511999999999,Airbnb
256,Impeccable studio in Palermo Soho B,Entire home/apt,-34.58697,-58.424330000000005,Airbnb
257,"Beautiful apartment, big, spacious",Entire home/apt,-34.59207,-58.41525,Airbnb
258,Equipped & Serviced Suite for Family / Group,Entire home/apt,-34.61072,-58.38225,Airbnb
259,Chic Studio Apartment in Palermo!,Entire home/apt,-34.58065,-58.40497,Airbnb
260,"Art House, terrace up to 14 to 20 people",Entire home/apt,-34.57822,-58.42952,Airbnb
261,Feel free at a nice apartment!!!,Private room,-34.629979999999996,-58.39581999999999,Airbnb
262,Nice 2bdr apartment in Buenos Aires,Entire home/apt,-34.5891,-58.410619999999994,Airbnb
263,Largest Faena Hotel Suite on market,Entire home/apt,-34.61423,-58.3622,Airbnb
264,Relaxation of the B & B milonguero,Private room,-34.602920000000005,-58.40068,Airbnb
265,"B&B ""Tucuman 2430"" 2 rooms/ 4 guest",Private room,-34.602990000000005,-58.40045,Airbnb
266,PRIVATE BEDROOM SINGLE BED,Private room,-34.6177,-58.40071999999999,Airbnb
267,"SUITE, QUEEN BED, CLOSET AND PRIVATE BATHROOM",Private room,-34.6172,-58.39957,Airbnb
268,room for rent the best Belgrano,Private room,-34.56951,-58.45288000000001,Airbnb
269,"Chic Palermo Soho-5Bdr, 2,100 sq/ft Patio/Terrace",Entire home/apt,-34.58845,-58.43264,Airbnb
270,San Telmo - depto con estilo y ubicacion ideal,Entire home/apt,-34.618140000000004,-58.38021,Airbnb
271,Broad modern Flat in Palermo Las Cañitas,Entire home/apt,-34.56981,-58.43766,Airbnb
272,Altos de Juncal RECOLETA 35m2 2 pax,Entire home/apt,-34.59252,-58.3793,Airbnb
273,Double Room or Twin Room In Palermo Soho,Private room,-34.58892,-58.42168,Airbnb
274,Excelent Studio Palermo Hollywood,Entire home/apt,-34.578920000000004,-58.43473,Airbnb
275,A Balcony in the Sky Bs As Live Hotel Palermo,Entire home/apt,-34.578559999999996,-58.43725,Airbnb
276,"Sunny & great Palermo, Best Value",Entire home/apt,-34.59375,-58.43,Airbnb
277,Single Room in Palermo Soho,Private room,-34.58992,-58.42236,Airbnb
278,Single Suite in Palermo Soho,Private room,-34.589240000000004,-58.42134,Airbnb
279,Comfortable house in Buenos Aires,Private room,-34.57933,-58.48522,Airbnb
280,"Departamento privado, en el centro.",Entire home/apt,-34.61215,-58.401419999999995,Airbnb
281,Cozy room in my beautiful house,Private room,-34.57638,-58.457440000000005,Airbnb
282,PALERMO SOHO - High Quality Design,Entire home/apt,-34.58187,-58.426730000000006,Airbnb
283,Modern apartment in Brand New Condo,Entire home/apt,-34.57783,-58.43725,Airbnb
284,Sunny Studio in Palermo Hollywood,Entire home/apt,-34.578070000000004,-58.43564,Airbnb
285,Cooool room in penthouse in Palermo,Private room,-34.59062,-58.415440000000004,Airbnb
286,Cozy studio in the heart of Palermo,Entire home/apt,-34.58699,-58.429680000000005,Airbnb
287,Central to Everything between palermo and Recoleta,Entire home/apt,-34.59255,-58.4106,Airbnb
288,::Private Terrace-Big bright studio-Top Location::,Entire home/apt,-34.61963,-58.372119999999995,Airbnb
289,Relax in Buenos Aires for 2 persons,Private room,-34.60158,-58.40023000000001,Airbnb
